Project	Accuracy	Precision	Recall	F1-Score
cucumber-jvm.csv	0.7205882352941176	0.5555555555555556	0.6818181818181818	0.6122448979591837
hector.csv	0.6634615384615384	0.9	0.35294117647058826	0.5070422535211268
spring-framework.csv	0.7766626722588377	0.5722243565117172	0.7978039635779325	0.6664429530201342
hadoop.csv	0.7338881072829048	0.4679780764321646	0.775538136120443	0.5837235437347817
facebook-android-sdk.csv	0.7088906372934697	0.5411184210526315	0.7833333333333333	0.6400778210116731
voldemort.csv	0.6212351688469729	0.3607280750137893	0.8837837837837837	0.5123384253819037
atmosphere.csv	0.7516469038208169	0.5525902668759811	0.7927927927927928	0.6512488436632747
okhttp.csv	0.8029197080291971	0.8673469387755102	0.8585858585858586	0.8629441624365483
hbase.csv	0.7395167575993764	0.5771543086172345	0.810126582278481	0.6740784084259801
ant.csv	0.7839515753530963	0.5809409888357256	0.8103448275862069	0.676730143985137
mockito.csv	0.768595041322314	0.6804123711340206	0.7252747252747253	0.7021276595744681
pmd.csv	0.8218085106382979	0.7300492610837438	0.7916666666666666	0.7596104561763198
netty.csv	0.790993281278373	0.6869757174392936	0.7787787787787788	0.7300023457658925
wicket.csv	0.782608695652174	0.671225937183384	0.7610568638713383	0.7133243606998654
guava.csv	0.6874056682877746	0.4630081300813008	0.6771700356718192	0.5499758570738773
intellij-community.csv	0.7922761396176766	0.638996138996139	0.8530927835051546	0.7306843267108167
commons-lang.csv	0.7873517786561265	0.6861435726210351	0.8353658536585366	0.7534372135655362
hazelcast.csv	0.8584153774027192	0.8633288227334236	0.7604290822407628	0.8086185044359949
jgit.csv	0.7428245580688082	0.4953354064860062	0.8370870870870871	0.6223834775327938
hibernate-search.csv	0.8245341614906833	0.7210216110019646	0.8137472283813747	0.7645833333333333
eclipseJdt.csv	0.7369107508850382	0.5728744939271255	0.8608960176991151	0.6879558011049723
jclouds.csv	0.7741057542768274	0.6030267753201397	0.5734846388043178	0.5878848063555114
jna.csv	0.7152899824253075	0.5283018867924528	0.8627450980392157	0.6553191489361702
vraptor4.csv	0.7905405405405406	0.601123595505618	0.8294573643410853	0.6970684039087948
commons-io.csv	0.748792270531401	0.6698113207547169	0.8068181818181818	0.7319587628865979
sonarqube.csv	0.8558344640434192	0.8040160642570281	0.8468697123519459	0.8248866913885455
wildfly.csv	0.7502364190396134	0.5377314814814815	0.8594154642989271	0.6615406521429589
elasticsearch.csv	0.8324451410658307	0.7772082018927445	0.7963636363636364	0.786669327479545
docx4j.csv	0.7526306004833612	0.3247588424437299	0.2037037037037037	0.2503661971830986
javaparser.csv	0.9230769230769231	0.9933333333333333	0.8922155688622755	0.9400630914826499
presto.csv	0.8426437154920429	0.7441295546558705	0.8450574712643678	0.7913885898815931
weka.csv	0.717188381886858	0.42114714270624276	0.7940649273053176	0.5503865267807841
flink.csv	0.795948763777182	0.7131400370141888	0.8401162790697675	0.7714381047714381
lucene-solr.csv	0.7583350590184303	0.5652372262773723	0.8527185134205093	0.679835390946502
junit4.csv	0.75	0.5904255319148937	0.7207792207792207	0.6491228070175439
checkstyle.csv	0.8069651741293532	0.6872340425531915	0.8729729729729729	0.7690476190476191
xerces2-j.csv	0.7529233105542901	0.5004180602006689	0.7348066298342542	0.5953742850037305
lombok.csv	0.7219690063810392	0.5591216216216216	0.8826666666666667	0.6845915201654602
hibernate-orm.csv	0.7833921370967742	0.5502606105733433	0.743086978381096	0.6322994652406417
argouml.csv	0.7527656290198096	0.5954476479514416	0.7691101528812231	0.671228190215532
cassandra.csv	0.7704109589041096	0.6413708690330477	0.8061538461538461	0.7143830947511929
openmrs-core.csv	0.871602082128398	0.7261247040252565	0.904621435594887	0.8056042031523643
spring-boot.csv	0.8354632587859425	0.7573529411764706	0.8477366255144033	0.8
mongo-java-driver.csv	0.8266062602965404	0.7584033613445378	0.7907995618838992	0.7742627345844504
jetty.csv	0.7894246447705567	0.6259678379988088	0.7920120572720422	0.699268130405855
